base_last,exp_last,base_first,exp_first
10,10,85,100
10,10,150,155
20,20,100,110
20,20,20,20
20,30,50,50
25,25,15,15
30,50,50,60
35,75,100,150
50,50,150,150
50,75,30,40
50,40,50,50
50,50,100,100
50,50,100,100
75,75,50,50
75,100,50,50
100,100,20,20
100,100,50,50
100,115,100,100
100,150,200,200
100,200,100,100
100,200,100,100
100,120,30,30
100,130,100,100
123,125,50,50
150,150,80,80
200,500,100,100
200,200,120,130
200,200,60,60
200,400,5,8
200,300,49,60
250,300,200,300
300,350,100,150
300,300,20,20
400,420,35,35
500,700,50,50
500,500,30,30
501,600,10,10
1000,1000,600,600
,,10,10
,,200,200
,,100,100
,,50,75
,,250,250
,,2000,2000
,,100,150
,,200,100
,,400,400
,,50,70