Position,Type,Amount
first,base,85
first,base,150
first,base,100
first,base,20
first,base,50
first,base,15
first,base,50
first,base,100
first,base,150
first,base,30
first,base,50
first,base,100
first,base,100
first,base,50
first,base,50
first,base,20
first,base,50
first,base,100
first,base,200
first,base,100
first,base,100
first,base,30
first,base,100
first,base,50
first,base,80
first,base,100
first,base,120
first,base,60
first,base,5
first,base,49
first,base,200
first,base,100
first,base,10
first,base,20
first,base,35
first,base,50
first,base,30
first,base,10
first,base,600
first,base,10
first,base,200
first,base,100
first,base,50
first,base,250
first,base,2000
first,base,100
first,base,200
first,base,400
first,base,50
first,exp,100
first,exp,155
first,exp,110
first,exp,20
first,exp,50
first,exp,15
first,exp,60
first,exp,150
first,exp,150
first,exp,40
first,exp,50
first,exp,100
first,exp,100
first,exp,50
first,exp,50
first,exp,20
first,exp,50
first,exp,100
first,exp,200
first,exp,100
first,exp,100
first,exp,30
first,exp,100
first,exp,50
first,exp,80
first,exp,100
first,exp,130
first,exp,60
first,exp,8
first,exp,60
first,exp,300
first,exp,150
first,exp,0
first,exp,20
first,exp,35
first,exp,50
first,exp,30
first,exp,10
first,exp,600
first,exp,10
first,exp,200
first,exp,100
first,exp,75
first,exp,250
first,exp,2000
first,exp,150
first,exp,100
first,exp,400
first,exp,70
last,base,150
last,base,200
last,base,300
last,base,30
last,base,100
last,base,200
last,base,200
last,base,50
last,base,10
last,base,20
last,base,50
last,base,100
last,base,20
last,base,200
last,base,100
last,base,50
last,base,50
last,base,500
last,base,0
last,base,0
last,base,0
last,base,0
last,base,100
last,base,50
last,base,100
last,base,250
last,base,100
last,base,25
last,base,0
last,base,20
last,base,123
last,base,75
last,base,35
last,base,300
last,base,1000
last,base,10
last,base,501
last,base,500
last,base,400
last,base,200
last,base,100
last,base,100
last,base,75
last,exp,150
last,exp,500
last,exp,350
last,exp,50
last,exp,100
last,exp,200
last,exp,200
last,exp,50
last,exp,10
last,exp,20
last,exp,75
last,exp,100
last,exp,20
last,exp,400
last,exp,115
last,exp,40
last,exp,50
last,exp,700
last,exp,0
last,exp,0
last,exp,0
last,exp,0
last,exp,150
last,exp,50
last,exp,200
last,exp,300
last,exp,200
last,exp,25
last,exp,0
last,exp,30
last,exp,125
last,exp,75
last,exp,75
last,exp,300
last,exp,1000
last,exp,10
last,exp,600
last,exp,500
last,exp,420
last,exp,300
last,exp,120
last,exp,130
last,exp,100